Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,8,1,5,3,8
6,11,23,29,11,7
7,10,23,29,12,8
6,10,22,29,12,9
7,10,22,29,13,10
7,9,22,29,14,11
8,8,22,29,13,11
7,8,22,29,12,10
6,9,22,29,12,11
5,10,23,29,11,10
4,10,23,29,12,11
5,9,23,29,12,12
4,10,23,29,13,11
3,10,22,29,12,11
2,11,22,28,13,12
2,11,22,29,12,11
2,10,22,29,11,12
2,10,22,29,12,11
2,10,22,29,11,10
2,10,22,29,11,11
2,10,22,29,10,11
2,10,22,29,11,12
2,10,22,29,12,13
2,11,22,29,13,14
2,11,22,29,12,13
2,11,22,29,13,14
3,11,22,29,14,13
3,11,22,29,14,12
2,12,22,28,13,11
2,13,22,29,12,10
2,13,22,29,13,11
2,13,21,29,12,11
2,13,21,29,12,12
2,13,21,29,11,12
2,13,21,28,10,13
2,13,20,29,11,14
2,13,20,29,12,15
2,13,20,28,11,14
2,13,20,29,12,15
2,13,20,29,11,14
2,13,20,29,10,13
2,13,20,29,11,12
2,13,20,29,10,12
2,13,20,29,9,13
2,13,20,29,8,12
2,13,20,29,9,13
2,13,20,29,8,12
2,13,20,29,8,13
2,13,20,29,7,12
2,13,20,29,8,11
2,13,20,29,9,12
2,13,19,29,9,13
2,13,19,29,10,14
2,13,19,29,9,13
2,13,19,29,10,14
2,13,19,28,11,15
2,13,18,28,10,16
2,13,17,28,11,15
2,13,18,27,12,16
2,13,19,27,11,15
2,13,18,27,10,14
2,13,19,26,10,13
2,13,18,25,10,14
2,13,18,24,10,15
2,13,17,25,9,16
2,13,18,24,9,17
2,13,19,23,8,17
2,13,20,24,9,18
2,13,21,23,10,19
2,13,20,22,9,19
2,13,19,23,10,18
2,13,18,23,11,17
2,13,17,22,11,18
2,13,16,23,12,17
2,13,15,23,13,16
2,13,14,22,12,15
2,13,15,22,13,14
2,13,14,23,14,15
2,13,13,23,15,16
2,13,12,22,14,16
2,13,13,22,14,15
2,13,12,21,13,14
2,13,11,22,12,13
2,13,10,21,12,14
2,13,10,20,11,14
2,13,10,19,10,13
2,13,11,20,11,14
2,13,12,20,10,13
2,13,11,19,9,12
2,13,11,18,10,11
2,13,10,17,11,12
2,13,9,16,11,11
2,13,10,17,10,11
2,13,11,17,9,10
2,13,10,16,9,11
2,13,10,15,10,10
2,13,11,14,10,11
2,13,10,15,11,10
2,13,11,16,12,9
2,13,10,17,13,10
2,13,9,17,14,11
2,13,8,16,13,10
2,13,7,15,12,10
2,13,8,14,13,11
2,13,9,15,12,11
2,13,8,14,11,11
2,13,7,13,12,10
2,13,8,14,12,11
2,13,7,13,11,10
2,13,8,14,12,11
2,13,7,13,11,10
2,13,6,12,10,10
2,13,5,11,9,9
2,13,6,10,8,8
2,13,7,9,7,7
2,13,6,8,6,6
2,13,5,9,5,5
2,13,6,10,5,4
2,13,5,10,5,5
2,13,4,9,6,6
2,13,5,8,7,5
2,13,4,7,6,4
2,13,3,6,7,3
2,13,2,5,8,4
2,13,2,4,7,3
2,13,1,5,8,4
2,13,1,5,9,5
2,13,1,5,8,6
2,13,1,5,7,7
2,13,1,5,6,6
2,13,1,5,7,6
2,13,1,5,8,6
2,13,1,5,9,7
2,13,1,5,10,8
2,13,1,5,10,9
2,13,1,5,9,9
2,13,1,5,10,10
2,13,1,5,9,10
2,13,1,5,9,11
2,13,1,5,9,10
2,13,1,5,9,9
2,13,1,5,9,10
2,13,1,5,8,9
2,13,1,5,7,8
2,13,1,5,8,9
2,13,1,5,7,8
2,13,1,5,6,7
2,13,1,5,5,8
2,13,1,5,6,9
2,13,1,5,7,10
2,13,1,5,8,11
2,13,1,5,9,12
2,13,1,5,9,13
2,13,1,5,9,14
2,13,1,5,10,15
2,13,1,5,11,16
2,13,1,5,11,15
2,13,1,5,10,16
2,13,1,5,11,15
2,13,1,5,10,14
2,13,1,5,9,13
2,13,1,5,8,12
2,13,1,5,9,11
2,13,1,5,10,12
2,13,1,5,9,12
2,13,1,5,10,13
2,13,1,5,9,12
2,13,1,5,8,11
2,13,1,5,7,10
2,13,1,5,6,11
2,13,1,5,7,12
2,13,1,5,6,13
2,13,1,5,5,12
2,13,1,5,5,13
2,13,1,5,4,12
2,13,1,5,3,11
2,13,1,5,3,12
2,13,1,5,4,12
2,13,1,5,5,13
2,13,1,5,6,14
2,13,1,5,6,15
2,13,1,5,6,16
2,13,1,5,5,15
2,13,1,5,5,16
2,13,1,5,6,15
2,13,1,5,5,14
2,13,1,5,6,13
2,13,1,5,7,14
2,13,1,5,6,13
2,13,1,5,5,12
2,13,1,5,5,13
2,13,1,5,5,12
2,13,1,5,4,12
2,13,1,5,3,13
3,13,1,5,3,14
3,12,1,5,4,15
2,11,1,5,5,14
2,11,1,5,5,13
2,11,1,5,6,14
2,11,1,5,5,13
2,11,1,5,4,12
2,10,1,5,4,11
2,9,1,5,4,11
3,8,1,5,3,10
4,9,1,5,3,9
3,8,1,5,3,8
