Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
26,8,17,13,17,13
11,6,23,5,14,1
10,7,23,4,14,2
10,8,22,5,15,3
11,7,21,5,16,4
11,8,20,5,17,5
10,9,19,4,17,6
10,10,18,5,18,7
11,11,17,4,19,8
12,10,18,5,20,9
13,9,19,6,21,10
14,10,19,7,22,10
15,9,20,8,23,10
16,8,21,9,23,10
17,8,22,10,23,9
18,8,23,9,23,10
19,8,23,10,22,10
20,7,23,9,21,11
21,8,22,10,20,10
22,7,23,11,19,9
23,7,22,11,20,10
24,6,22,11,19,9
25,7,22,11,18,8
24,8,22,12,17,9
23,7,22,12,16,8
22,8,22,12,15,7
22,9,22,12,16,7
22,10,21,12,15,6
21,10,22,11,15,5
22,10,23,12,15,4
21,11,22,11,16,3
20,10,23,11,16,4
20,10,23,10,17,3
20,10,23,9,18,2
20,10,24,8,19,3
20,10,23,9,20,4
20,10,24,10,19,4
20,10,24,10,20,5
20,10,24,10,19,6
21,9,24,10,20,7
22,10,24,10,21,8
23,11,25,10,20,9
23,12,26,11,19,10
24,12,26,10,19,9
25,11,26,9,18,8
26,10,26,8,19,7
26,9,25,7,20,7
26,8,24,6,20,8
26,8,25,5,20,9
26,8,24,5,20,9
26,8,23,6,19,10
26,8,22,7,18,11
26,8,21,8,17,12
26,8,21,7,18,11
26,8,20,6,17,10
26,8,19,7,18,10
26,8,18,8,18,9
26,8,18,9,19,10
26,8,18,10,18,11
26,8,18,11,17,12
26,8,17,12,16,11
26,8,16,11,15,11
26,8,15,11,16,12
26,8,14,10,17,12
26,8,15,11,18,11
26,8,16,10,18,11
26,8,16,11,17,12
26,8,17,12,17,13
26,8,17,13,17,13
