Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,1,3,1,19,26
6,9,14,1,16,26
5,8,13,1,15,27
5,7,13,1,14,27
6,8,12,2,15,28
7,7,12,3,16,28
8,8,11,3,15,27
9,7,12,4,15,27
10,6,12,4,14,27
11,7,11,3,14,27
10,6,10,4,14,27
11,6,10,5,15,26
12,5,9,4,16,25
12,6,9,4,15,26
12,7,8,4,16,27
11,7,8,3,16,27
10,8,9,4,16,28
9,7,8,3,15,27
10,7,7,4,16,28
11,6,7,4,17,27
11,5,7,4,17,27
11,4,8,5,17,27
11,3,8,6,18,28
10,4,8,7,18,28
11,4,9,7,17,27
12,4,9,6,17,27
13,5,8,6,16,26
12,6,9,6,16,25
11,5,8,5,16,26
10,4,8,4,17,27
9,3,8,4,18,26
9,3,9,5,18,26
10,4,8,4,18,25
11,5,9,4,19,26
10,4,8,3,19,26
9,3,7,2,19,26
10,4,8,3,19,26
9,3,7,2,19,26
9,3,6,3,19,26
8,4,7,4,19,26
9,5,7,3,19,26
10,4,7,2,19,26
11,3,6,1,19,26
10,2,6,0,19,26
10,2,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,6,0,19,26
9,3,5,0,19,26
9,3,5,0,19,26
9,3,5,0,19,26
10,4,5,0,19,26
9,5,4,0,19,26
10,4,4,0,19,26
9,3,4,0,19,26
9,3,4,0,19,26
10,4,4,0,19,26
9,5,3,0,19,26
8,4,3,0,19,26
7,4,3,1,19,26
6,5,4,0,19,26
5,5,4,0,19,26
4,4,4,0,19,26
5,4,4,0,19,26
4,5,4,0,19,26
5,4,3,0,19,26
4,3,4,0,19,26
5,2,3,0,19,26
4,2,3,0,19,26
3,1,3,0,19,26
3,1,3,1,19,26
