Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
23,19,2,10,9,22
24,21,4,5,4,17
25,20,3,4,4,17
24,21,4,3,4,18
25,20,4,2,4,19
24,21,5,2,4,19
25,20,5,3,5,20
24,21,6,2,4,21
25,20,5,1,5,21
24,21,5,2,6,21
23,20,5,2,5,22
22,19,6,2,6,21
23,19,7,3,7,21
23,19,8,4,7,21
23,19,7,5,7,20
23,19,6,5,8,19
23,19,7,6,7,20
23,19,8,7,8,19
23,19,8,6,7,19
23,19,7,6,8,18
23,19,8,5,9,19
23,19,8,6,10,19
23,19,8,6,11,19
23,19,8,6,11,20
23,19,8,6,11,19
23,19,7,6,11,20
23,19,7,5,11,21
23,19,8,6,10,22
23,19,9,7,9,22
23,19,8,7,9,22
23,19,8,6,9,22
23,19,9,5,9,22
23,19,10,5,9,22
23,19,11,6,9,22
23,19,10,7,9,22
23,19,10,8,9,22
23,19,10,8,9,22
23,19,9,9,9,22
23,19,9,10,9,22
23,19,8,9,9,22
23,19,8,8,9,22
23,19,7,7,9,22
23,19,6,8,9,22
23,19,7,7,9,22
23,19,7,8,9,22
23,19,8,7,9,22
23,19,7,6,9,22
23,19,8,6,9,22
23,19,8,7,9,22
23,19,8,6,9,22
23,19,8,6,9,22
23,19,7,6,9,22
23,19,6,7,9,22
23,19,5,6,9,22
23,19,4,5,9,22
23,19,5,6,9,22
23,19,4,5,9,22
23,19,5,5,9,22
23,19,5,5,9,22
23,19,4,4,9,22
23,19,4,3,9,22
23,19,5,2,9,22
23,19,4,3,9,22
23,19,3,2,9,22
23,19,4,2,9,22
23,19,5,3,9,22
23,19,5,4,9,22
23,19,4,5,9,22
23,19,3,5,9,22
23,19,2,4,9,22
23,19,2,4,9,22
23,19,2,4,9,22
23,19,2,4,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,5,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,6,9,22
23,19,2,7,9,22
23,19,2,8,9,22
23,19,2,9,9,22
23,19,2,9,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
23,19,2,10,9,22
