Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
7,27,7,27,28,14
19,29,16,27,25,7
20,29,16,28,25,8
20,28,17,27,26,7
19,27,17,27,25,6
19,26,17,26,26,7
18,26,16,26,26,8
17,27,16,27,25,9
17,26,16,28,26,9
16,26,17,29,26,8
17,27,17,29,26,9
17,28,17,29,26,9
18,29,17,29,27,8
19,29,16,28,27,8
19,28,16,27,27,9
20,27,15,26,27,10
21,27,14,25,27,11
21,26,14,26,28,10
22,25,15,27,28,10
21,26,14,28,27,10
20,25,13,29,27,11
19,26,13,29,27,12
18,25,13,29,27,13
17,26,13,29,28,13
16,27,13,29,28,13
17,27,13,29,28,14
17,26,13,29,28,14
16,25,13,29,28,14
15,26,13,28,28,14
14,25,14,28,28,14
13,24,13,28,28,14
14,25,12,28,28,14
13,24,12,28,28,14
12,25,12,28,28,14
13,24,13,29,28,14
14,25,13,29,28,14
15,24,13,29,28,14
16,23,13,29,28,14
15,23,13,29,28,14
14,24,13,29,28,14
15,23,13,29,28,14
15,24,13,29,28,14
15,25,13,29,28,14
14,24,14,29,28,14
14,25,14,29,28,14
13,24,14,29,28,14
14,25,13,29,28,14
15,24,13,29,28,14
14,23,13,29,28,14
13,24,13,29,28,14
12,25,13,29,28,14
11,26,14,29,28,14
11,27,14,29,28,14
10,28,14,29,28,14
9,29,14,29,28,14
9,29,14,29,28,14
9,29,14,29,28,14
9,29,14,29,28,14
9,29,14,29,28,14
9,29,14,29,28,14
9,29,14,28,28,14
9,29,14,29,28,14
9,29,14,29,28,14
9,29,14,28,28,14
9,29,13,27,28,14
9,29,14,26,28,14
9,29,14,26,28,14
9,29,13,25,28,14
9,29,12,25,28,14
8,29,11,24,28,14
7,29,10,25,28,14
7,29,10,26,28,14
7,29,11,27,28,14
7,29,12,26,28,14
7,29,12,25,28,14
7,29,12,26,28,14
7,29,13,25,28,14
7,29,13,24,28,14
7,29,12,25,28,14
7,29,11,26,28,14
7,29,12,25,28,14
7,29,13,24,28,14
7,29,14,25,28,14
7,29,13,26,28,14
7,29,13,26,28,14
7,29,13,26,28,14
7,29,13,26,28,14
7,29,13,26,28,14
7,29,14,25,28,14
7,29,15,24,28,14
7,29,14,23,28,14
7,29,13,24,28,14
7,29,12,25,28,14
7,29,13,26,28,14
7,29,14,25,28,14
7,29,13,26,28,14
7,29,12,26,28,14
7,29,11,27,28,14
7,29,10,26,28,14
7,29,11,25,28,14
7,29,10,25,28,14
6,29,10,25,28,14
6,29,11,26,28,14
6,29,10,26,28,14
6,29,10,26,28,14
6,29,9,25,28,14
6,29,8,24,28,14
5,29,7,25,28,14
5,29,6,24,28,14
5,29,5,24,28,14
6,29,4,23,28,14
6,29,4,24,28,14
6,28,5,25,28,14
7,27,5,25,28,14
7,27,6,26,28,14
7,27,7,27,28,14
