Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
8,11,8,11,3,12
10,10,13,4,8,20
10,11,13,4,8,20
9,10,12,5,8,19
8,11,13,5,7,18
9,12,12,6,8,19
10,13,12,7,7,18
9,14,13,8,8,17
9,13,12,7,7,16
8,14,11,8,6,15
9,13,12,9,5,14
10,12,12,8,6,15
11,11,12,9,6,14
10,12,13,8,6,15
11,11,12,8,5,14
10,12,11,7,4,13
9,11,12,8,5,14
8,11,11,7,5,15
8,11,10,8,5,14
8,11,10,8,6,15
9,12,11,7,7,16
8,11,10,7,6,15
9,12,11,8,5,14
10,13,11,7,4,13
10,14,12,8,3,12
9,13,12,9,3,12
10,12,11,10,3,12
9,11,10,11,3,12
8,11,9,10,3,12
8,11,10,11,3,12
8,11,11,10,3,12
8,11,10,10,3,12
8,11,9,10,3,12
8,11,8,11,3,12
