Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
17,0,1,29,1,29
13,11,9,24,12,21
14,10,10,23,13,20
15,9,11,22,14,19
14,8,12,21,14,18
15,7,13,20,15,17
16,6,14,19,16,16
17,5,15,18,17,15
18,4,14,17,18,14
17,5,15,16,19,13
16,4,16,15,20,12
16,3,15,14,21,11
17,2,16,13,21,12
17,2,17,13,20,13
17,2,18,13,19,14
17,2,19,12,18,13
16,3,18,13,19,12
16,2,17,14,20,11
17,2,18,13,19,12
17,2,19,12,19,13
16,1,19,13,20,12
17,0,18,14,21,13
17,0,19,14,20,14
17,0,20,14,19,15
17,0,19,15,20,14
17,0,18,16,21,13
17,0,19,15,20,14
17,0,20,14,19,15
17,0,19,13,18,16
17,0,18,14,18,15
17,0,18,13,19,14
17,0,17,14,18,13
17,0,16,15,17,14
17,0,17,14,18,13
17,0,16,15,17,14
17,0,17,14,16,15
17,0,18,13,17,14
17,0,19,12,18,13
17,0,20,11,19,12
17,0,21,10,20,11
17,0,20,11,21,10
17,0,19,12,20,11
17,0,18,13,19,12
17,0,17,14,18,13
17,0,16,15,17,14
17,0,15,16,16,15
17,0,14,17,16,16
17,0,15,16,17,15
17,0,14,16,16,16
17,0,14,17,15,17
17,0,13,17,14,18
17,0,12,18,13,17
17,0,11,19,14,18
17,0,10,20,13,19
17,0,9,21,12,18
17,0,10,22,11,19
17,0,9,23,10,20
17,0,8,24,9,21
17,0,9,23,8,22
17,0,10,24,9,23
17,0,11,23,9,24
17,0,12,22,10,23
17,0,11,23,11,22
17,0,11,24,12,23
17,0,12,23,13,24
17,0,11,22,14,25
17,0,10,23,13,24
17,0,10,24,12,23
17,0,9,25,12,24
17,0,8,26,11,25
17,0,7,25,10,25
17,0,6,26,9,24
17,0,5,26,8,25
17,0,6,26,7,25
17,0,5,26,6,26
17,0,4,26,5,27
17,0,3,27,6,26
17,0,2,28,5,27
17,0,1,29,4,27
17,0,1,29,3,28
17,0,1,29,4,27
17,0,1,29,3,28
17,0,1,29,2,29
17,0,1,29,2,28
17,0,1,29,1,29
