Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,10,1,25,18,0
25,9,6,17,4,21
25,8,7,16,3,20
26,8,8,17,4,19
27,9,9,18,5,19
28,10,10,19,5,20
28,10,9,20,5,20
28,10,10,20,5,21
28,10,9,21,5,20
28,10,8,22,6,19
28,10,7,23,6,19
28,10,6,22,6,18
28,10,5,21,7,17
28,10,4,20,8,17
28,10,3,21,8,16
28,10,4,22,8,17
28,10,3,21,7,16
28,10,3,22,6,15
28,10,2,23,6,15
28,10,2,23,7,14
28,10,2,23,6,13
28,10,3,24,6,12
28,10,3,24,7,11
28,10,2,25,7,10
28,10,1,25,6,9
28,10,1,25,6,10
28,10,1,25,6,9
28,10,1,25,6,10
28,10,1,25,6,10
28,10,1,25,7,10
28,10,1,25,8,9
28,10,1,25,9,8
28,10,1,25,9,7
28,10,1,25,9,6
28,10,1,25,9,7
28,10,1,25,9,6
28,10,1,25,9,6
28,10,1,25,9,6
28,10,1,25,10,5
28,10,1,25,10,5
28,10,1,25,11,4
28,10,1,25,12,4
28,10,1,25,13,3
28,10,1,25,13,2
28,10,1,25,13,2
28,10,1,25,14,2
28,10,1,25,14,2
28,10,1,25,14,2
28,10,1,25,14,1
28,10,1,25,14,1
28,10,1,25,15,1
28,10,1,25,15,1
28,10,1,25,16,2
28,10,1,25,16,2
28,10,1,25,16,2
28,10,1,25,16,2
28,10,1,25,15,1
28,10,1,25,16,2
28,10,1,25,16,2
28,10,1,25,15,3
28,10,1,25,15,3
28,10,1,25,15,3
28,10,1,25,16,4
28,10,1,25,15,3
28,10,1,25,15,3
28,10,1,25,15,3
28,10,1,25,15,3
28,10,1,25,15,3
28,10,1,25,16,2
28,10,1,25,17,3
28,10,1,25,18,4
28,10,1,25,17,3
28,10,1,25,18,4
28,10,1,25,17,5
28,10,1,25,16,4
28,10,1,25,17,3
28,10,1,25,18,2
28,10,1,25,19,3
28,10,1,25,18,2
28,10,1,25,17,1
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
28,10,1,25,18,0
