Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
8,12,5,13,15,18
11,22,6,12,22,17
10,21,6,12,21,16
9,20,6,12,20,17
10,19,6,12,19,16
11,18,6,12,20,17
12,17,6,12,21,18
13,16,6,12,20,18
14,15,6,12,19,18
13,16,6,12,18,19
12,17,6,12,17,18
11,18,6,12,18,19
10,17,6,12,17,20
10,16,6,12,17,21
11,15,6,12,16,22
10,14,6,12,17,22
11,13,6,12,16,23
10,14,6,12,17,24
11,13,6,12,16,24
10,12,6,12,16,23
11,11,6,12,17,22
10,12,6,12,16,21
9,13,6,12,15,22
10,14,6,12,14,23
9,13,6,12,14,22
10,12,6,12,13,21
9,13,6,12,14,20
8,12,6,12,15,19
8,12,5,13,15,18
