Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
11,5,27,17,27,17
11,10,19,20,11,20
12,9,19,19,10,21
11,9,18,19,11,22
10,10,17,18,12,21
11,11,18,19,13,21
12,10,19,20,14,20
11,10,19,21,15,21
12,10,19,22,16,20
12,11,18,23,17,20
13,11,17,22,17,21
12,12,16,22,18,22
13,13,16,21,19,21
14,13,16,22,20,22
14,12,15,23,21,22
15,11,16,24,20,21
14,10,17,23,21,20
15,11,18,22,22,21
14,10,18,23,23,22
14,10,19,24,22,21
14,10,20,23,23,20
15,10,21,22,22,19
16,9,22,23,21,18
15,10,21,23,21,17
14,11,22,22,20,16
14,11,23,22,21,17
15,10,24,22,20,16
14,9,23,23,21,15
14,8,24,24,22,14
14,7,23,23,22,13
13,8,24,23,23,12
12,9,24,22,23,13
12,8,25,23,24,14
13,7,26,22,25,15
13,8,25,22,24,15
13,8,24,22,23,15
12,8,23,22,24,14
12,9,24,23,25,15
11,8,25,22,25,15
11,7,26,22,24,14
11,7,25,23,24,14
11,8,24,22,24,13
11,9,25,22,23,14
10,8,25,21,24,15
10,9,24,20,25,15
11,8,25,19,25,15
11,8,24,18,25,16
10,7,23,17,26,16
9,7,22,16,27,17
9,8,21,15,27,17
10,8,22,15,27,17
10,9,23,14,27,17
9,10,24,15,27,17
8,9,25,14,27,17
7,8,25,15,27,17
8,7,26,14,27,17
8,7,25,14,27,17
9,6,24,15,27,17
10,5,25,16,27,17
10,4,25,17,27,17
9,4,26,17,27,17
8,4,26,16,27,17
8,4,25,16,27,17
9,4,25,17,27,17
8,4,25,16,27,17
9,4,26,16,27,17
10,4,27,16,27,17
10,5,26,16,27,17
11,4,26,17,27,17
11,5,27,17,27,17
